순번,논문명,저자명,출판년
172,KOSPI200 옵션의 주야간 수익률 차이에 관한 연구 = (A) study on the day and night return difference of the KOSPI200 options,한지성,2022
173,의무보유확약이 신규상장 수익률에 미치는 영향에 관한 연구 = A study on the impact of the lock up period for institutions on IPO rate of return,함현중,2022
174,한국 주식시장에서 역사적 수익률 순서가 후속 수익률에 미치는 영향에 관한 실증연구 = (An) empirical study on the effect of the ordering of historical returns on subsequent returns in the Korean stock market,한희영,2022
175,고유수익률의 극단치와 국내 주식시장의 기대수익률과의 관계에 대한 실증연구 = (The) relationship between measures of extreme idiosyncratic returns and expected returns in the Korean stock market,서우덕,2022
176,한국시장에서 다양한 포트폴리오 선택 방법의 성과에 관한 실증연구 : An extreme value approach를 중심으로 = (An) empirical study on the performance of various portfolio selection methods in the Korean market : focusing on an extreme value approach,예성연,2022
177,한국 시장에서 조건부 변동성 조정 전략에 대한 실증 연구 = (An) empirical study on conditional volatility targeting in Korean market,강장호,2022
178,야간 정보 흐름이 갖는 실현 변동성 예측 성과에 관한 실증 연구: 이질적 자기회귀 모형을 중심으로 = Forecasting realized volatility with overnight information flow using heterogeneous autoregressive model,김재영,2022
179,ESG 팩터와 주식시장에서의 영향 : ESG 팩터 모멘텀 전략을 통한 알파 추구 = ESG factors in equity market : seeking alpha from ESG factor momentum strategy,김재원,2022
180,한국 주식시장에서의 수익률 반전현상과 수익률 예측에 관한 실증연구 = (An) empirical study on return reversals and return predictability in the Korean stock market,김준혁,2022
181,저변동성을 기반으로 하는 변동성 타이밍 전략 = Volatility timing strategy under low volatility portfolio,류병석,2022
182,한국 주식 시장에서의 유효 요인 연구 = (An) empirical study of effective factors in the Korean stock market,박상원,2022
183,한국 주식시장에서 비대칭 베타는 하방 리스크를 헤지하는가? = Does asymmetric beta hedge downside risk in the Korean stock market?,정승현,2021
184,Understanding the movement of CDS spread in the Korean market = 한국시장에서의 신용부도스왑의 변동에 대한 이해,"Chang, So Yeon",2021
185,한국시장에 상장된 ETF를 활용한 일중 이동평균 트레이딩 전략 실증분석 = (An) empirical analysis on the intraday moving average strategies in Korean market ETFs,손해성,2021
186,한국 주식시장의 일중 반전 현상 : KOSPI를 중심으로 = Intraday reversal of Korean stock market,김한,2021
187,기관수요예측경쟁률이 IPO수익률에 미치는 영향에 관한 연구 = (A) study on the impact of institutional demand forecasting competition rate on IPO rate of return,함동균,2021
188,한국 회사채 신용평가기준의 시계열적 변화 분석 (신용평가사에 대한 규제강화가 신용평가에 미치는 영향을 중심으로) = (An) analysis of time series variations in the credit rating standards of Korean corporate bonds (focused on the regulations on credit rating agencies),강승훈,2021
189,KOSPI200 지수 옵션의 내재 변동성 평면을 이용한 헤스톤 모형에 관한 실증연구 = Estimating the Heston model using the KOSPI200 index options’ implied volatility surface,김세훈,2021
190,배당감소 발표전 기관투자자 매매양태에 대한 실증분석 = (An) empirical study on institutional trading before dividend reduction announcements,박용관,2021
191,KOSPI200 옵션 시장의 변동성 및 점프 위험 분석 = Volatility and jump risk in the KOSPI200 index option market,박진환,2021
192,코로나바이러스감염증(COVID-19)으로 인한 한국주식시장의 침체기간동안 ESG등급과 주가수익률의 관계에 대한 실증분석 = ESG performance and stock returns: the coronavirus recession in the Korean stock market,박하경,2021
193,한국 주식시장에서의 요인 모형 비교: 시계열 요인 모형 vs 횡단면 요인 모형 = Comparing factor models in the Korean stock market: time-series factor models vs cross-section factor models,박현정,2021
194,극단적 유동성 위험을 이용한 한국 주식시장 자산 가격 측정 (코스피와 코스닥 시장의 차이를 중심으로) = Asset pricing with extreme liquidity risk in the KOSPI and KOSDAQ markets,서준영,2021
195,한국 시장에서의 소비 변동과 주식 수익률에 대한 실증 연구 = (An) empirical analysis of the consumption fluctuations and stock market return in the Korean market,오세원,2021
196,한국 주식시장에서 요인 모멘텀과 모멘텀 요인 = Factor momentum and the momentum factor in Korean stock market,이철승,2021
197,한국 주식시장에서 상장지수펀드(ETF)가 구성종목들의 변동성에 미치는 영향 = Impact of ETFs on volatility of their constituents in Korean stock market,임관호,2021
198,한국 유가증권시장에서 스마트베타 및 회계적 이례현상의 역사적 유효성 분석 = Historical validity analysis of smartbeta and accounting anomalies in the KOSPI market,임대선,2021
199,단기과열완화장치'제도의 효율성 재고 = Empirical study on short-term overheating regulation in the Korean stock market,장지은,2021
200,Intermediary asset pricing in the Korean financial market = 금융기관 자산가격결정론과 한국 시장에서의 유의성,"Jung, Sung Il",2021
201,누적 전망 이론을 활용한 옵션 수익률에 관한 실증 연구: 한국 시장을 중심으로 = (An) empirical study on option returns using the cumulative prospect theory in the Korean market,천아름,2021
202,다중 이자율 기간구조를 활용한 스왑션 가치평가 및 델타 헤지 분석 = Swaption valuation and delta hedging analysis using multiple interest rate term structure,최찬규,2021
203,비모수적 꼬리 위험 추정을 이용한 KOSPI 200 위험 프리미아 분석 = Identification of the KOSPI 200 risk premia via non-parametric estimation of jump tail risk,홍정화,2021
204,KOSPI200 지수 베타 횡단면 분산의 지수 수익률 예측력에 관한 연구 = (A) study on the predictive power of beta dispersion for KOSPI200 index return,홍종덕,2021
205,한국 주식시장에서 애널리스트의 목표주가와 수익률에 관한 연구 = (A) study on analyst price targets and returns in the Korean stock market,황상훈,2021
206,Vigilant Asset Allocation의 한국에서의 적용 – ETF와 암호화폐를 중심으로 = (An) empirical study on VAA strategies in the Korean equity market with Bitcoin,김남일,2021
207,한국 주식시장에서의 신호모멘텀 전략 및 순위모멘텀 전략 실증분석 = (An) empirical analysis of the sign momentum and the rank momentum strategies in the Korean stock market,곽지훈,2021
208,한국 시장에서의 공매도 거래량 비율과 주식 수익률 예측력에 대한 실증 연구 = (An) empirical analysis of the short selling flow ratio and stock return predictability in the Korean market,이재희,2021
209,한국시장에서의 교차 자산 시계열 모멘텀 전략 실증연구 = (An) empirical study of the cross-asset signal timeseries momentum strategy in the Korean market,김영규,2021
210,머신러닝 방법론을 통한 자산가격결정모형에 대한 실증 연구 - 한국 시장을 중심으로 = (An) empirical analysis of asset pricing via machine learning in the Korean market,이광현,2021
211,투자설명서상 보수주의가 IPO 주가성과와 영업성과에 미치는 영향에 대한 연구: 한국 IPO 기업을 중심으로 = (A) study of relationship between prospectus conservatism and post-IPO performance: evidence from Korean IPO firms,임경빈,2021
212,코스피200 지수 옵션의 내재변동성 곡면으로부터의 정보가 시계열 모형의 예측력에 미치는 영향에 관한 연구 = (A) study on the effect of the information from the implied volatility surface of the KOSPI200 index options on the predictability of the times series model,전성훈,2021
213,내부자의 주식담보대출이 현금성자산의 가치 및 기업의 배당 정책에 미치는 영향 = Study on the effects of Share pledging on the value of the cash holdings and payout policy,최소영,2021
214,레버리지 ETF의 헤지 수요 및 주식 수익률의 일중 모멘텀에 관한 연구 = Hedging demand of leveraged ETFs and intraday momentum in Korean stock market,강현호,2021
215,미래 이익 변화와 관련한 현금배당 변동의 정보효과에 대한 연구 = (A) study on the information content of cash dividend changes related to future earnings Changes,박철기,2021
216,한국 주식시장에서의 VPIN 모형 비교: bulk classification vs trade rule = Comparing VPIN models in the korean stock market: bulk classification vs trade rule,신성민,2021
217,전자공시 텍스트 분석을 통한 포트폴리오 전략 연구 = Portfolio construction strategy : using DART financial report textual analysis,심형민,2021
218,한국 주식시장에서 시계열 효율성을 고려한 펙터 모형에 관한 실증연구 = (An) empirical test for a time-series efficient factor model in the Korean stock market,이정훈,2021
219,Portfolio construction through reinforcement learning: an empirical study on the Korean stock market via interpretable AI = 강화학습을 활용한 포트폴리오 구성: 인공지능 해석을 통한 한국 주식시장 실증분석,"Lee, Dong Hee",2021
220,고빈도 데이터를 이용한 ETF거래 전략 = ETF trading strategy: an empirical study using high frequency data,이선규,2021
221,한국 주식시장의 변동성 분석: VKOSPI의 분해를 통한 불확실성 반영에 대한 실증연구 = Analyzing VKOSPI by decomposing into overnight and trading hour - the reflection of uncertainty,이지선,2021
222,한국주식시장에서 변동성 관리 포트폴리오의 성과 및 산정방식과 사이즈요인에 관한 심층연구 = (A) study on the performance and calculation method of volatility managed portfolio in the Korean stock market,정재욱,2021
223,수급요인이 수도권 아파트 가격변동에 미치는 영향에 관한 패널분석 = (A) panel analysis on the supply and demand factors on the price variation of apartments in the Seoul metropolitan area,한창훈,2021
224,Power and pitfalls of hierarchical clustering based asset allocation strategy in the Korean financial market = 한국시장 내 계층적 군집분석을 활용한 자산배분전략의 장점과 한계,"Cho, Young Joon",2021
225,한국 주식 시장 내 산업간 변동성 전이 효과 및 네트워크에 관한 연구 : 한국 코스피 시장 산업 지수를 이용한 실증 분석 = (A) study on the volatility spillovers and connectedness network in the Korean financial market index : an empirical study using industrial index on the KOSPI market,조범준,2020
226,한국 주식시장의 시장 유동성 프리미엄을 활용한 동적자산배분전략에 대한 실증분석 = (An) empirical analysis of dynamic asset allocation strategy based on market liquidity premium in Korean stock market,이인후,2020
227,거시경제지표에 따른 한국자본시장 반응에 관한 실증분석 = (An) empirical study on the effect of macro economic variables on the Korean capital markets,차수빈,2020
228,온라인 뉴스 기사 수와 주식 수익률의 관계 실증 분석 = (An) empirical analysis of the relationship between the number of online news and stock returns,김효석,2020
229,"미중 무역 분쟁 중 국가 CDS 프리미엄과 한국 채권 시장 유동성 그리고 트럼프 트위터 사이의 시계열 모형 분석 = Time series analysis among Sovereign CDS premium, Korean bond market liquidity and Trump tweets",이다함,2020
230,금융시계열-머신러닝 통합모형을 이용한 실현변동성 예측과 모형 해석에 관한 연구 = (A) study on forecasting and explaining realized volatility using a financial time series-machine learning Model,임정욱,2020
231,무드 베타와 국내 증시 계절성 실증 분석 = (An) empirical analysis on the mood beta and the seasonalities in the Korean stock market,한창완,2020
232,서포트 벡터 머신을 이용한 경기 정점 예측 = Forecasting peaks in the business cycle by support vector machine,박은수,2020
233,군집화 기반 앙상블 페어 선택 알고리즘을 사용한 페어 트레이딩 전략의 성과분석 = Performance analysis of pairs trading strategy using clustering-based ensemble pair selection algorithm,박찬주,2020
234,코스피(KOSPI) 시장의 금융시계열 가격 예측을 위한 다양한 신경망을 통한 방법론적 연구 = (A) methodological study for predicting financial time-series data in the KOSPI market by applying various neural networks,손예준,2020
235,한국 재정정책 변수를 활용한 채권 이자율의 리스크 프리미엄 예측 = Predicting bond risk premium using fiscal policy variables in Korean market,신현진,2020
236,대안 3요인 모형을 통한 한국주식시장에서의 잔차모멘텀 실증분석 = Residual momentum using alternative 3 factor model: Evidence from Korean stock market,오치헌,2020
237,거시경제 지표를 고려한 원유 가격 예측 모형에 대한 실증 연구 = (An) empirical study on the crude oil price forecasting model with macroeconomic factors,이승형,2020
238,기계학습 기반 비모수적 옵션 가격 평가 모형의 코스피200 지수 옵션에 대한 적용 = Application of non-parametric option pricing model based on machine learning for KOSPI200 index option,임헌세,2020
239,산업 모멘텀과 자기상관의 영향: 한국 주식시장에 대한 실증분석 = Industry momentum effect and influence of autocorrelation: an empirical study in South Korea,하헌호,2020
240,머신 러닝을 이용한 등가격 내재변동성 패턴 전환 예측 및 변동성 스큐 조정 델타 헤징 실증분석 = Predicting the regimes of ATM implied volatility using machine learning and empirical analysis of volatility skew adjusted delta hedging,한혜진,2020
241,Naver trends and stock market volatility = 네이버 트렌드와 주식시장 변동성,"Cho, Bohwan",2020
242,딥러닝을 활용한 원화 환율 예측: 시장 및 웹데이터와 거시경제 지표의 활용 = Deep learning approach for USD/KRW exchange rate forecasting,황미라,2020
243,알파모멘텀과 알파반전현상에 대한 한국 주식시장에서의 실증분석 = (An) empirical analysis on the alpha momentum and alpha reversal in the Korean stock market,박동석,2020
244,(An) empirical study on extreme liquidity risk in the Korean stock market = 한국 주식시장에서의 극한 유동성 위험에 대한 실증 분석,"Park, Jiyoung",2020
245,KOSPI200 옵션 내재변동성 변화의 움직임에 대한 이해:신경망을 중심으로 = Neural network approach to understanding KOSPI200 option implied volatility movements,고경형,2020
246,한국 ETF 시장에서 일중 모멘텀에 관한 연구 = (A) study on the intraday momentum in Korean ETF market,권성길,2020
247,한국 주식 시장에서의 고유 변동성과 수익률에 관한 실증 연구 - 다 계층 모형과 산업 효과 중심으로 = (An) empirical study of idiosyncratic volatility for Korean firms with industrial effects based on hierarchical linear models,김경훈,2020
248,기계학습을 활용한 코스피200 실현 변동성 예측 = (The) prediction of KOSPI200 realized volatility using machine learning,김수윤,2020
249,한국 주식 시장의 투자자 심리지수와 주식 수익률 동기성 = Aggregate investor sentiment and stock return synchronicity in Korean stock market,강민정,2020
250,한국 주식시장에서 주식의 절대적 강도의 극단값을 활용한 모멘텀 전략의 성과 = Extreme absolute strength of stocks and performance of momentum strategy in Korean stock market,공미선,2020
251,다양한 통계적 기법을 활용한 한국 기업의 부도 예측 연구 = (A) study on the prediction of Korean firms' bankruptcy using various statistical techniques,강우람,2020
252,강화학습 트레이딩을 통한 시장 데이터의 비선형 관계 확인 가능성 연구 = Study on the possibility of identifying nonlinear relationship in market data through reinforcement learning for trading,고은환,2020
253,제품 시장 변화를 활용한 발생액과 이익의 관계 실증 연구 = (An) empirical study on the relationship between accruals and earnings using product market change in the Korean market,김광기,2020
254,마코브 스위칭 모형을 이용한 주식시장의 국면별 효과적 재무비율 실증분석 = Empirical analysis on effective financial ratios by stock market regime using Markov switching model,김영강,2020
255,모바일기기 대중화 전후의 검색 데이터를 이용한 투자자 관심도 측정 효과 비교 = Comparison of the effects of investor attention using search volume data before and after mobile device popularization,민종현,2020
256,한국시장의 노동레버리지와 주가수익률에 대한 횡단면 분석 = (The) cross-section of labor leverage and equity returns in Korean stock market,김재현,2020
257,Predicting USDKRW volatility : does jump have information? = 달러원 환율의 변동성 예측 : 가격 점프의 정보력,"Kim, Hongsik",2020
258,국내 주식시장에서 시장가치 대비 이익잉여금 비율의 설명력 분석 = Retained earnings to market ratio in the cross section of expected returns : evidence from the Korean stock market,박재민,2020
259,KOSPI200 지수 옵션 시장에서 변동성 과잉반응과 거래전략의 유효성 분석 = Short-term volatility overreaction & trading strategies in the KOSPI index option market,배동일,2020
260,넬슨-시겔 모형을 이용한 한국의 현물 이자율 기간구조 모수 추정 : 다중공선성 문제 해결을 중심으로 = (An) estimation of spot rate term structure parameters in Korea using Nelson-Siegel model : focusing on solving multicollinearity problem,손형철,2020
261,코퓰러와 동적 조건부 상관관계 모형을 활용한 포트폴리오 최적화 및 성과 분석 = (A) performance analysis of portfolio optimization based on copulas and dynamic conditional correlation models,신동섭,2020
262,국내 상장기업의 주식 유동성이 이익조정에 미치는 영향에 대한 연구 : 발생이익조정을 중심으로 = (The) effect of Korean stock liquidity on earning management : focused on accrual-based earning management,심재호,2020
263,옵션 내재변동성 변화 기대함수를 이용한 최소분산 델타 추정 및 인공신경망을 활용한 내재변동성 변화 예측 : 코스피200 옵션을 중심으로 = Minimum variance Delta estimation using expectation function of option implied volatility change and predicting implied volatility change using artificial neural network : for the KOSPI200 options,이규형,2020
264,재무레버리지를 활용한 한국 유가증권시장 주식 수익률 횡단면 연구 = (The) cross-section of equity returns in the KOSPI market using financial leverage,이주헌,2020
265,경영참여형 사모펀드가 인수 기업의 가치에 미치는 영향에 관한 연구 = (A) study of the private equity's effect on PE-backed companies,안소현,2020
266,"국내 은행산업으로부터 실물경제로의 꼬리위험 전이현상에 대한 실증 분석 : 코스닥 상장사, 산업단위를 중심으로 = (An) empirical study on the tail risk spillover from the banking sector to real economy sectors",이지숙,2020
267,한국 주식시장에서 멀티 팩터 결합방식에 따른 매수 전략 성과 실증연구 = (An) empirical study on long-only multifactor strategies in the Korean equity market,정민교,2020
268,(The) cash conversion cycle spread in the Korean stock market = 한국 주식시장에서의 현금전환주기 스프레드,"Jung, Wonjun",2020
269,한국 주식시장에서의 유동성 프리미엄과 정보 불확실성에 대한 실증 분석 = (An) empirical analysis of the liquidity premium and information uncertainty in the Korean stock market,황종원,2020
270,단기 반전 효과와 모멘텀 합성 전략 : 유가증권시장(KOSPI)를 중심으로 = Short-term reversal effect and momentum synthesis strategy : focusing on the Korean stock market (KOSPI),한승표,2020
271,한국 금융시장에서 평균 왜도(Skewness)의 시장 수익률 예측력에 관한 연구 = (A) study on the predictive power of average skewness for market returns in Korea financial market,홍보석,2020
272,한국에서 기업가치와 부채수준 관계에 마케팅 강도가 미치는 영향 = (An) empirical study on taming polysemous signals : the role of marketing intensity on the relationship between financial leverage and firm performance in Korea,우승엽,2019
273,가치 및 성장투자의 펀더멘탈 분석을 통한 Value trap의 의미에 대한 실증 연구 = (An) empirical study on investing value vs growth and the fundamental analysis behind an explanation to value trap in the Korean market,이준영,2019
274,Empiricalson study on the relationship between ETFs and stocks in South Korea = 국내 ETF와 기초자산간의 관계에 대한 실증연구,"Kim, Dong Young",2019
275,"한국 주식시장에서 자산 성장률에 따른 스타일 투자와 모멘텀 효과에 대한 실증 연구 = (An) empirical study on asset growth, style investing, and momentum in Korean stock market",조원빈,2019
276,횡단면에서의 주식 수익률 예측을 위한 인공신경망의 적응적 앙상블 기법 = Adaptive ensemble of artificial neural networks for forecasting stock returns in the cross-section,김재경,2019
277,"한국 주식시장에서 자산성장률 스타일 투자에 관한 모멘텀 현상 실증 연구 = (An) empirical analysis of asset growth, style investing, and momentum in the Korean stock market",김정민,2019
278,단기 반전 효과와 재무 건전성 정보를 활용한 투자 전략과 실증 연구 = (An) empirical study on an investment strategy using the short-term reversal with financial information,백승엽,2019
279,Ripple effect of fundamental error in traditional factors : empirical results in the Korean stock market = 전통 자산가격결정의 근본 오류 파급효과 : 한국 주식시장에서 실증분석,"Baek, Jong Gu",2019
280,최적 델타 모형의 적정성 검토 : 코스피 200 옵션을 중심으로 = Evaluation of optimal delta model : For the KOSPI 200 Options,안준현,2019
281,한국과 미국 주식시장의 이상 현상에 대한 동조화 현상 실증분석 = Co-movement in anomalies between the Korean and U.S. stock markets,이영림,2019
282,고차원 공분산 행렬 추정을 통한 포트폴리오 위험 운영에 관한 실증 연구 = (An) empirical study on portfolio risk management under high dimensional covariance matrix estimation,이용혁,2019
283,기계학습과 인공신경망을 이용한 ELW 가격결정모형 연구 = (An) empirical study on ELW pricing model using machine learning and artificial neural networks,이창수,2019
284,Q 이론과 수익성 프리미엄 : 한국 주식시장에 대한 실증분석 = Q theory and profitability premium : an empirical investigation of Korean stock market,성재동,2019
285,복권성향주식에서의 일월효과와 반전현상에 관한 연구 = (A) study of seasonal effect and reversal effect of lottery-like stocks in Korean stock market,임재희,2019
286,한국시장에서 팩터모형의 기반한 채권 포트폴리오의 Value at Risk 측정 : 거시경제 및 금융 스트레스 영향이 VaR에 미치는 효과 중심으로 = (A) factor based approach of bond portfolio value at risk in South Korea : Focusing on the effects of macroeconomics and financial stress in VaR,강민수,2019
287,유가의 변동성이 국내 주식 시장 변동성에 미치는 단기 영향에 대한 실증 연구 = (An) empirical study on the short-term effect of oil volatility on stock volatility in Korean market,박소현,2019
288,한국 시장에서의 복권 성향 주식의 수익률 이상 현상에 대한 재검토 = Validating lottery anomalies in Korean market,박완배,2019
289,한국 주식시장의 건전성 효과에 대한 실증 연구 = (An) empirical study of quality effect in the Korean stock market,박윤송,2019
290,국내 상장기업의 합병 이후 주가수익률에 관한 실증 연구 = (An) empirical study on the post-deal stock returns of acquiring firms listed on the korean stock market,박종호,2019
291,한국 주식시장에서의 상장지수증권(ETF)이 구성주식들의 유동성 동조화에 미치는 영향 = (The) effect of ETF on commonality in liquidity of the underlying assets in Korea stock market,박지은,2019
292,(An) empirical analysis of crash sensitivity and cross-sectional returns in Korean stock market = 한국 주식시장의 붕괴 민감도와 횡단면 수익률에 대한 실증 연구,"Park, ChanWoo",2019
293,Market predictability of aggregate asset growth in Korean stock market : (A) time-series analysis = 한국시장에서 자산성장률의 시장수익률 예측력 : 시계열분석,"Yun, Sunmyoung",2019
294,자본과 유동성이 대출액에 미치는 영향에 관한 실증 연구 = (An) empirical study of the effect of capital and liquidity on lending,윤홍민,2019
295,공매도 : 내부자 거래를 이용한 공매도의 시장 정보 효율성 재고 효과 분석 = (An) empirical analysis of information efficiency improvement of short selling with insider trading,이상주,2019
296,경기조건을 활용한 한국시장 초과수익률 예측 = Excess return predictability over the business cycle in Korean market,이인혁,2019
297,주거용 부동산 조기경보 모델에 관한 실증분석 = (An) empirical study of the early warning system for residential real estate in South Korea,이재준,2019
298,자본 구성요소-시장가 비율의 기대 수익률 분석 = Equity components-to-market in the cross section of expected returns,이준희,2019
299,금융당국의 감독 제재 효과에 대한 실증 분석 : 국내 저축은행 신용리스크 감독·제재 효과에 대한 실증 분석 = (An) empirical study on the effect of supervisory enforcement actions,이충성,2019
300,Profitability of fundamental analysis using a convergence strategy in Korea stock market = 한국 주식시장에서 수렴 전략을 이용한 기본적 분석의 수익성 검증,"In, Jae-Min",2019
301,한국 상장 주식의 초과 수익률 달성 여부에 대한 실증적 분석 = Do stocks outperform risk-free assets in Korean market?,권준,2019
302,미처분 자본이익과 52주 최고가가 복권성향 주식의 수익률 반전현상에 미치는 영향 = (The) effects of capital gains and 52 week high stock price on the return of lottery stocks in Korea,전용준,2019
303,한국 주식시장에서 기업의 투자와 단기 수익률 반전 현상에 대한 실증 연구 = Corporate investment as an explanation for the short-term return reversal: An empirical evidence in Korean stock market,정민후,2019
304,이자율 불확실성에 대한 국내 금융기관의 의사결정 : 이자율스왑을 중심으로 = (The) decision making of Korean financial firms under interest rate uncertainty with interest rate swaps,정형주,2019
305,Modified F-score : 재무회계 정보를 활용한 투자전략에 대한 개선과 실증 연구 = Modified F-score : an empirical study for investment strategy using accounting data,최이름,2019
306,한국시장에서의 변동성 관리를 통한 포트폴리오 구성 = Volatility managed portfolio in Korean stock market,김태우,2019
307,역사적 가격변화 모형을 이용한 모멘텀 전략 분석 : 한국시장을 중심으로 = Evolution of historical prices in momentum strategy : an empirical study on korean stock market,고태욱,2019
308,야간 수익률의 단기 지속성 실증 분석 = (An) empirical analysis of the short-term persistence of overnight returns in Korean stock market,백창욱,2019
309,시변계수와 베이지안 모형평균법을 이용한 한국 시장의 주식 위험 프리미엄 예측 = Forecasting the equity risk premium in Korea using time-varying coefficients and bayesian model averaging,손인석,2019
310,Safe minus risky : 보험적 성격을 지닌 주식들에 대한 실증 연구 = Safe minus risky,김건우,2019
311,Equity index futures trading and stock price crash risk : evidence from Korean markets = 주가 지수 선물 거래와 주가급락위험 : 한국시장을 중심으로,"Kim, Min Jae",2019
312,한국 주식시장의 자금 유동성 상태와 모멘텀 이상현상의 관계에 대한 실증분석 = (An) empirical study on the relationship between the funding condition and momentum in korean stock market,양세랑,2019
313,"1월 효과를 통한 모멘텀, 역행효과 실증분석 = (An) empirical analysis of the momentum, contrarian and the january seasonality in Korean stock market",윤상민,2019
314,사회적책임활동이 국내 기업의 주식수익률에 미치는 영향 분석 : 글로벌 금융위기 기간을 중심으로 = (The) effect of corporate social responsibility on stock returns in Korean stock market during the financial crisis,김용덕,2019
315,한국 주식시장에서의 베타 이상현상과 비체계적 위험을 통한 요인 분석 = (The) beta anomaly in the south Korea stock market with idiosyncratic volatility,김윤영,2019
316,펙터 모델을 활용한 저변동성 이상현상 실증 분석 = (An) empirical analysis of the low-volatility anomaly by factor models in Korean stock market,이승현,2019
317,가변적 데이터 생성법 적용한 딥러닝 시계열 알고리즘 기반 기업부도 예측 모형의 효과성에 관한 연구 = (A) study on the effectiveness of the corporate default prediction model based on the deep learning time series algorithm using the variable data generation method,차성재,2019
318,자산성장률을 이용한 모멘텀과 장기반전 현상의 발생 원인에 대한 실증 분석 = Firm investment as a driver for the momentum and long-term reversal : (an) empirical study in south korea,김정운,2019
319,자본이득 구간에 따른 위험과 기대수익간의 관계 실증분석 = (The) relationship between risk and expected return on capital gains overhang in Korea market,박상우,2019
320,한국 주식시장에서 수익률 예측 요인을 이용한 횡단면 및 시계열 수익률 차이점 실증연구 = Cross-sectional and time-series tests of return predictability in Korean stock market,박성진,2019
321,시장 구성요소 포트폴리오와 예정된 거시경제지표 발표 사이의 Systematic cojumps : 한국시장을 중심으로 = Systematic cojumps between market component portfolios and scheduled macroeconomic announcements : evidence from Korean stock market,김송희,2018
322,Idiosyncratic volatility in Korean stock market : corporate iInvestment and profitability = 한국 주식시장에서의 고유변동성에 관한 연구 : 기업의 투자와 수익성에 대하여,"Kim, Sang Hyup",2018
323,구조적 모형을 이용한 국가신용스프레드의 변동에 대한 분석 = (A) study on the dynamics of sovereign credit spread via structural model,김금별,2018
324,국내 주식시장에서 투자자의 의견 불일치가 위험-수익 상충관계에 미치는 영향 실증 분석 = (An) empirical study on the effect of investors' disagreement on the risk-return trade-off in the Korea stock market,정두산,2018
325,기관투자자의 출구 전략을 고려한 단기 역전 현상 요인에 대한 연구 = (The) factors of short term reversal and institutional exit,강현정,2018
326,애널리스트 이익 추정치 조정의 예측에 대한 연구 = On the forecasts of analyst EPS revisions,이시윤,2018
327,Heavy tail성질을 이용한 극단적 위험 제어 포트폴리오의 한국 시장 실증 연구 = Empirical analysis of Heavy-tail risk managed portfolio in Korea stock market,홍동기,2018
328,Time series momentum in the Chinese commodity futures market = 중국 상품 선물 시장에서의 시계열 모멘텀,"Ham, Hyuna",2018
329,경제상태변수와 거시경제활동의 관계에 대한 실증 연구 = (An) empirical study on the relation between the exposure to state variables and macroeconomic activity,편하니,2018
330,"Click or call, 국내 장외와 장내 채권 시장의 유동성 및 비용 차이 분석 = Click or call ? the difference between auction and search in the over-the-counter market in Korean bond trading",허준홍,2018
331,한국 주식시장에서 주주환원수익률의 주식수익률 예측력에 관한 실증연구 = (An) emprical study on payout yield as predictor of stock return in korean market,추가람,2018
332,극단값이론을 이용한 실손의료보험 보험료 조정에 대한 실증 연구 = (An) empirical study on the Korean medical insurance pricing using extreme value theory,최진영,2018
333,수익률예측요인을 이용한 국내 주식과 채권 수익률에 관한 연구 = (An) empirical study on the cross-section and time series of stock and bond returns in Korean market : focusing on the CP factor,박종선,2018
334,투자 기간에 따른 위험요인 가격 책정 상이성 연구 = (An) empirical study on horizon pricing of risk factors in korea,박상일,2018
335,노동자본자산가격결정모형 실증분석 : 한국시장을 중심으로 = (An) empirical test on labor capital asset pricing model in Korean market,박상우,2018
336,기대효용함수 최대화를 통한 코스피200지수 옵션 포트폴리오 최적화 전략 = KOSPI200 index option portfolio optimization strategy by maximizing expected utility function,박상욱,2018
337,Recession prediction using yield curve and stock market liquidity deviation measures in South Korean market = 이자율곡선과 주식시장 유동성 편차 측정을 통한 불황 예측 : 한국시장을 중심으로,"Choi, Ju Hee",2018
338,국내 시장의 모멘텀 붕괴 현상을 이용한 전략 = (A) crash-adjusted momentum strategy in Korean stock market,문동욱,2018
339,한국 주식시장에서 산업 전력 소비와 주가수익률에 대한 실증 연구 = Industrial electricity usage and stock return : an empirical study of Korean stock market,최일문,2018
340,공매도자의 산업정보 활용에 대한 실증적 연구 = (An) empirical study on short selling in terms of industry information,정현주,2018
341,공매도 잔고의 종합주가수익률 예측력 검정 = (An) empirical test of aggregate stock return predictability using short interest,정문영,2018
342,국제유가 충격이 주식시장에서 수익률과 변동성의 관계에 미치는 영향 = (The) impact of oil price shocks on the relationship between Korean stock market return and volatility,류시현,2018
343,"Accruals, cash flows, and operating profitability in the cross-section of stock returns in Korean security markets = 한국 금융시장에서 발생금액 이례현상, 현금흐름, 영업수익률에 대한 수익률의 횡단면 분석","Nam, Soon Ku",2018
344,Expected volatility and mispricing in the KOSPI 200 index futures market = 코스피 200 지수의 기대변동성과 지수 선물의 가격 괴리 현상,"Kim, Jun Hyuk",2018
345,감리지적 기업의 배당 정책에 대한 연구 = dividend policy of accounting fraud firms in the Korean market,남동석,2018
346,과거 최고가격과 현재 주식 가격간의 거리가 공매도 활동에 미치는 영향 분석 : 한국 주식시장에서의 검증 = (The) effect of distance between past high price and current price on short selling activity,권종민,2018
